Blog	four	looking	second	here	kids	k	music	until	example	want	feature	wrong	fix	easier	series	re	wasn	service	needed	person	tech	came	best	asked	much	life	things	had	easy	possible	right	old	people	support	happy	inside	later	time	team	love	working	awesome	such	years	course	didn	internet	million	quite	open	city	future	note	take	drive	ways	going	where	many	photos	former	technology	being	around	world	power	favorite	side	her	am	having	tv	th	large	small	past	full	hours	experience	social	via	company	learn	information	its	always	found	really	try	major	number	self	also	play	microsoft	set	see	project	available	last	let	whole	blog	recent	amp	readers	parents	couple	d	continue	anything	into	link	line	us	ago	results	video	great	makes	tools	next	process	high	move	perfect	doing	books	could	start	system	lot	device	face	fact	should	hope	means	stuff	email	ve	android	off	less	web	five	become	does	problem	chance	worked	worth	told	search	work	interview	after	law	order	office	then	them	network	another	do	away	launched	hand	photo	thanks	night	post	months	way	update	together	change	live	car	write	product	use	remember	still	non	half	now	year	space	shows	care	than	browser	online	america	only	between	article	comes	these	media	real	read	early	using	business	your	trying	since	month	very	learned	family	put	takes	site	history	help	soon	actually	event	reason	ask	mobile	clear	latest	pretty	during	x	close	won	probably	both	along	else	look	while	ready	used	user	march	game	popular	some	run	step	within	doesn	go	facebook	click	products	started	point	links	including	keep	art	long	data	exactly	need	based	she	well	page	twitter	home	noticed	he	display	friends	companies	likely	even	ever	never	call	tell	give	amazing	answer	before	personal	better	weeks	went	content	isn	matter	don	m	bad	said	against	appeared	three	website	if	make	left	human	yes	yet	save	deal	dead	super	down	finally	did	making	may	man	maybe	talk	nbsp	interesting	thing	think	first	little	anyone	were	potential	show	behind	black	get	morning	enough	reading	across	those	sound	different	pay	same	running	money	either	videos	youtube	again	important	u	public	two	share	needs	coming	through	good	everyone	house	hard	idea	done	least	part	build	most	services	find	please	simple	create	itself	spend	big	bit	google	often	back	single	entire	others	control	stories	ll	day	announced	text	taking	value	almost	com	thought	add	happens	buy	minutes	special	starting	under	every	path	changes	would	phone	must	me	my	times	end	over	writing	each	got	free	wanted	days	already	top	too	took	though	watch	amazon	report	news	games	quickly	pick	able	everything	head	hear	check	no	cool	level	posts	says	goes	water	today	name	turn	place	white	any	ideas	sure	state	college	come	case	myself	someone	events	week	without	seems	there	far	list	design	version	known	short	might	friday	feel	story	kind	nothing	his	him	wrote	recently	became	reasons	questions	customers	question	called	say	nice	users	once	apple	heart	app	few	something	six	instead	related	our	york	their	which	who	why	thousands	words	view	april	will	gets	other	know	because	lead	getting	own	apps	made	whether	book
Lifehack	0	0	0	0	0	0	0	0	0	6	0	2	0	0	0	4	0	0	0	3	0	4	6	0	1	3	8	0	3	1	0	0	7	0	3	0	0	1	0	10	0	0	0	0	0	0	0	0	0	0	0	0	3	4	0	1	3	6	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	4	0	0	0	2	0	0	0	0	3	0	0	1	4	0	0	0	1	0	3	0	0	0	0	0	0	0	1	0	0	0	5	0	0	0	0	0	0	2	2	3	0	0	0	6	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	1	2	0	0	0	10	0	0	0	2	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	3	0	2	2	1	5	0	0	1	0	0	0	0	3	0	0	0	0	0	4	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	4	24	1	1	1	0	0	0	0	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	1	0	0	0	6	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	2	0	0	0	0	0	3	0	0	0	3	0	3	4	0	0	0	0	0	5	0	4	2	0	3	0	0	1	0	0	7	0	0	1	0	0	0	0	0
Lifehacker	0	1	0	3	2	0	0	0	0	3	1	1	0	2	0	9	0	0	0	0	0	0	5	0	0	1	2	0	0	1	3	1	2	0	0	2	0	6	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	3	0	1	2	0	2	0	0	5	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	1	2	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	4	0	0	0	2	1	0	1	1	0	0	1	1	0	4	2	0	0	1	0	0	1	0	3	2	2	1	2	1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	2	0	0	4	1	0	0	0	0	0	0	0	2	1	1	0	0	1	2	0	5	0	2	0	0	1	1	3	1	0	3	0	0	0	1	3	0	0	0	0	0	26	0	1	1	21	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0	2	0	0	0	0	2	0	1	2	1	1	0	2	0	0	0	1	4	0	0	0	1	0	0	0	0	0	1	0	0	4	0	0	0	1	3	0	0	2	1	0	1	0	1	0	0	0	0	2	1	2	0	1	0	0	1	0	0	3	0	0	0	0	1	4	0	1	0	0	0	0	0	8	2	0	0	0	0	2	0	0	0	1	1	0	1	3	0	0	0	0	0	0	2	1	5	0	1	0	0	0	0	4	0	0	0	2	1	0	0	2	0	2	1	0	0	0	3	1	0	0	1	0	0	0	0	1	2	0	0	0	1	0	3	0	5	0	1	0	4	0	0	0	1	0	7	2	4	3	0	0	0	0	2	5	0	0	0	0	1	0	0	3	0	0	0	1	2	0	2	0	0	2	0	1	0	1	0	1	1	0	1	1	3	0	0	0	1	1	0	0	0	4	0	0	2	0	0	1	2	2	0	0	1	0	0	1	1	0	0	5	0	0	2	0	1	0	0	0	0	2	0	0	1	0	2	0	0	0	1	0	2	0	0	0	1	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	2	2	0	0	0	2	0	0	1	0	1	2	0	2	2	5	2	3	1	0	0	0	3	1	0	2	0
The Official Google Blog	3	7	4	17	11	3	8	4	3	13	1	0	1	5	2	51	4	6	1	4	5	4	14	3	7	12	3	17	5	2	8	7	72	7	5	2	2	29	7	5	6	1	1	16	3	3	12	16	1	1	19	6	0	12	1	3	1	12	18	3	2	23	9	14	21	6	4	3	28	0	1	7	5	3	11	11	1	9	2	2	4	2	12	18	19	6	8	1	6	1	6	4	30	6	0	7	22	7	12	16	6	2	5	7	6	1	7	0	8	1	0	19	1	2	20	4	3	3	9	5	2	8	1	10	1	3	4	0	4	8	1	8	6	4	4	7	6	5	2	4	28	6	10	6	24	3	4	5	1	2	2	3	1	57	16	0	24	0	1	7	7	14	2	3	15	8	3	2	6	2	8	1	5	6	1	5	4	4	3	0	5	16	0	11	2	3	10	30	5	6	5	51	1	27	3	19	3	0	6	24	5	9	4	5	9	18	76	2	11	7	4	2	9	8	2	8	7	22	4	3	5	1	7	1	4	5	2	11	5	3	3	2	6	4	3	13	12	3	2	4	8	13	4	17	6	4	1	6	9	1	0	8	4	2	0	11	3	14	9	5	1	10	2	30	12	1	2	9	0	16	2	1	2	3	16	8	2	6	3	5	0	4	11	2	10	1	4	1	4	0	9	4	1	5	2	4	8	5	30	19	3	0	2	4	2	1	1	4	8	7	7	8	9	2	8	2	16	0	3	5	33	8	2	37	3	23	6	2	22	2	8	1	12	5	1	8	1	3	2	0	2	10	23	2	7	10	6	16	2	3	0	24	10	7	1	5	3	0	3	5	5	10	1	23	0	2	10	1	1	10	1	100	7	14	0	3	5	1	2	21	29	6	0	6	3	2	9	1	2	0	0	5	1	6	1	6	2	0	8	9	0	7	9	4	3	20	0	8	10	11	2	9	11	21	4	5	9	8	0	1	12	2	5	2	2	4	5	0	3	7	1	1	0	3	2	2	26	4	6	4	3	7	5	8	5	2	12	1	0	2	2	43	10	0	30	7	1	3	2	1	1	10	2	3	3	4	0	17	4	2	5	3	1	15	2	2	6	12	0	9	8	0	2	12	8	11	3	5	5	66	6	44	18	38	4	3	3	8	1	28	0	20	17	7	1	9	8	4	16	7	4
Google Operating System	0	0	4	4	0	2	2	3	3	3	13	0	0	2	0	13	1	0	0	1	1	0	0	0	2	2	1	1	0	1	4	3	12	1	0	2	0	7	0	0	1	1	0	2	0	1	0	0	0	2	0	1	2	0	15	0	1	3	3	11	0	0	0	1	0	1	1	1	0	0	2	0	0	0	1	5	0	2	0	0	1	0	0	3	3	1	1	0	2	0	1	0	13	8	1	1	13	1	14	2	1	0	0	2	1	0	0	0	3	0	0	1	7	0	2	0	11	21	0	0	0	9	0	4	2	0	0	0	8	2	0	9	5	0	0	0	0	2	0	4	2	16	0	3	8	0	0	1	0	0	1	0	0	9	2	0	2	0	0	1	2	11	0	2	2	0	1	0	1	6	0	0	1	4	2	1	3	1	0	1	2	21	0	6	3	0	26	2	0	9	0	2	1	2	0	13	1	2	1	11	0	1	1	1	4	0	42	0	2	2	0	0	2	0	0	8	1	3	2	3	0	2	0	5	3	7	1	0	1	1	1	1	3	0	0	3	4	0	6	0	0	2	2	10	1	0	0	2	2	0	9	4	2	3	1	2	6	0	0	8	0	4	2	0	2	17	0	1	2	0	2	1	0	0	5	1	0	0	0	0	0	0	3	2	2	1	0	1	1	0	0	1	0	0	0	0	0	0	15	4	1	0	0	3	1	0	0	0	3	0	0	0	2	0	1	1	1	3	0	3	11	1	0	0	0	2	0	0	3	0	2	0	0	1	0	5	0	4	0	0	1	28	27	3	0	2	0	3	4	0	0	0	1	0	0	0	0	0	0	1	0	12	1	4	0	1	4	0	0	0	2	167	0	4	4	2	0	0	0	3	2	0	0	0	0	0	18	0	13	0	2	0	0	0	1	1	0	0	2	1	0	5	1	0	1	4	0	0	0	2	1	2	1	2	0	0	0	3	0	0	1	0	4	1	1	1	0	0	0	14	0	0	2	2	0	0	3	2	0	2	0	0	0	0	0	0	1	0	0	0	2	4	2	0	12	0	6	3	6	0	0	0	0	1	1	0	0	0	0	0	1	0	1	2	0	0	4	0	1	3	1	2	0	13	3	3	0	1	4	1	0	1	8	0	3	0	0	17	0	12	0	9	0	1	0	0	5	6	4	0	1
ShoeMoney	0	1	0	4	0	3	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	1	1	0	3	2	1	3	1	1	1	0	2	0	0	0	0	2	0	1	1	0	0	5	1	1	6	2	0	1	0	0	0	0	0	0	1	2	3	0	0	0	0	0	1	0	0	0	0	3	0	0	1	1	0	0	0	0	0	3	1	5	2	1	6	3	0	3	0	0	0	0	3	0	0	0	4	0	1	4	0	0	1	0	0	3	0	1	0	0	0	2	0	0	1	0	0	3	3	1	0	1	0	0	0	0	2	5	2	0	0	3	0	0	0	2	0	0	1	9	0	0	2	0	1	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	2	4	0	0	2	0	0	0	0	4	0	1	0	1	0	0	1	2	0	2	2	0	0	0	0	0	2	5	0	1	0	3	0	6	0	1	1	0	1	0	0	0	23	0	1	2	10	0	2	1	0	0	0	0	0	1	0	0	0	2	1	0	0	0	0	0	1	1	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	1	0	0	0	2	0	0	1	0	2	1	0	5	1	0	1	0	6	0	0	2	0	2	1	1	0	0	3	3	0	0	0	1	0	1	0	0	1	2	5	0	0	0	0	0	2	8	3	0	0	1	0	0	0	0	0	1	1	3	2	0	0	1	0	0	0	2	2	3	1	0	0	0	4	2	1	4	0	1	2	0	1	0	0	0	0	0	3	0	0	0	1	0	0	0	1	0	0	0	1	3	0	0	0	0	1	0	0	0	2	1	0	3	1	2	0	0	1	1	2	0	0	0	0	1	0	0	0	5	0	0	0	1	0	3	2	0	0	1	1	1	0	1	0	0	1	4	0	1	3	12	2	0	5	1	1	3	12	1	3	2	0	0	2	0	0	0	1	1	0	0	0	0	1	0	1	4	2	1	0	3	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0	1	0	1	7	2	2	0	3	3	0	0	1	0	2	1	0	3	0	0	1	0	1	0	0	0	1	2	0	0	1	2	0	1	0	2	1	1	1	0	0	6	0	0	4	3	0	1	1	0	3	0	2
Kotaku	0	1	0	4	0	0	0	0	0	2	0	1	0	1	1	0	0	0	1	1	0	0	3	0	1	5	1	0	0	0	2	0	1	0	0	1	0	2	3	0	0	1	0	4	0	0	1	0	0	0	0	0	2	0	0	0	1	1	1	0	0	0	2	1	1	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	1	1	0	3	0	0	0	0	1	0	0	0	1	0	0	7	2	0	0	1	1	2	0	0	0	0	0	4	0	0	1	0	0	3	1	1	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	5	0	0	2	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	2	0	0	7	0	0	0	0	0	0	2	0	4	1	1	0	0	0	0	0	1	2	2	0	2	3	2	1	0	1	0	0	0	0	2	0	0	1	2	0	0	27	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	2	0	0	2	1	0	0	0	1	3	0	0	0	9	1	2	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	1	0	2	0	2	3	0	0	2	1	1	0	3	0	2	0	1	1	3	2	0	0	0	0	3	0	2	0	0	0	0	2	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	2	0	1	0	0	0	0	0	1	0	0	0	2	0	0	0	0	1	1	0	2	0	0	0	0	0	1	0	1	0	4	0	0	0	1	0	0	3	0	1	1	8	1	0	1	0	0	2	0	0	0	0	3	0	0	0	2	2	0	0	3	0	0	0	2	2	0	3	2	2	0	3	0	0	0	5	0	0	0	0	1	0	1	0	0	2	0	0	0	0	5	1	0	1	0	0	0	2	0	0	1	0	2	1	0	0	1	0	3	0	0	0	0	0	0	2	0	1	0	2	0	0	0	1	1	0	0	0	2	0	0	0	1	1	2	0	0	0	3	1	0	1	2	0	0	0	0	1	0	0
Mashable	2	0	1	2	3	0	9	1	0	1	2	0	1	2	0	6	0	2	0	1	5	1	5	0	3	2	1	10	0	1	2	2	2	1	0	0	0	2	2	2	0	0	2	0	2	1	0	1	1	1	4	1	1	1	0	1	2	1	3	0	2	0	0	1	7	2	0	0	3	0	0	8	2	1	0	0	3	0	0	2	1	8	0	0	10	1	1	1	0	4	0	1	29	6	2	1	27	0	2	4	3	0	0	0	0	0	2	0	1	1	0	6	0	1	12	0	0	1	2	0	0	5	0	4	4	0	0	0	4	1	0	1	0	1	3	0	0	1	0	8	1	8	1	2	1	1	0	0	0	1	0	0	4	1	2	0	10	2	0	0	4	4	8	4	0	0	2	0	1	0	3	0	1	3	4	2	1	6	3	0	4	2	1	2	2	2	7	7	0	3	0	5	4	1	1	3	3	0	2	2	4	1	31	1	3	5	19	1	3	4	0	0	0	3	1	2	0	0	1	2	3	0	0	2	0	3	1	2	0	0	0	2	2	1	0	2	4	1	2	0	8	10	0	3	1	1	0	3	4	6	1	0	1	0	0	1	1	0	1	0	0	1	3	2	3	4	1	2	1	7	0	3	1	1	3	2	1	1	0	1	2	0	3	0	2	4	2	0	2	0	2	3	0	2	2	0	0	0	3	7	1	1	0	2	0	1	3	4	7	0	1	2	3	2	0	0	0	0	2	1	4	3	0	2	0	7	2	0	6	2	2	0	1	2	1	2	0	2	0	0	0	3	1	1	0	8	1	5	4	0	0	2	3	0	0	2	0	0	1	1	0	5	0	1	0	0	1	2	0	0	1	3	0	2	0	0	0	3	1	2	8	3	0	0	0	1	2	0	3	2	1	0	0	0	3	1	0	0	5	5	0	1	0	0	2	4	0	1	0	0	0	1	1	2	1	1	0	0	7	2	3	2	0	1	2	0	0	0	1	6	1	2	0	4	1	3	1	2	0	2	0	1	0	0	4	2	2	0	0	0	9	2	0	1	12	1	3	3	5	2	1	0	1	0	2	1	1	18	3	1	1	2	1	0	5	0	3	2	0	4	1	7	2	10	2	3	0	3	0	7	0	10	6	8	1	1	0	1	7	22	1	9	2	2	1	4	1	7	3	0	0
TechCrunch	2	0	0	1	0	1	2	1	0	2	3	0	0	1	0	2	1	5	1	0	2	0	0	0	1	0	1	1	2	1	0	0	1	0	0	0	0	1	2	0	0	0	1	0	1	0	2	7	0	0	3	1	0	1	3	0	0	1	0	5	0	0	0	3	1	1	1	0	0	0	0	0	0	1	0	1	1	0	0	3	2	5	0	0	9	0	1	0	0	1	1	0	0	1	5	1	2	2	2	3	1	0	0	0	0	0	0	0	2	0	0	4	0	2	4	0	0	1	1	1	2	1	0	1	0	0	0	0	0	0	1	0	3	0	0	0	1	0	0	0	3	3	0	1	2	0	1	0	0	0	1	0	1	1	0	0	4	0	0	2	1	2	4	2	0	0	2	1	0	0	1	0	2	0	0	1	0	2	0	0	6	1	0	1	1	0	6	0	0	0	2	3	1	0	0	1	1	0	2	0	0	0	20	2	0	1	4	0	0	1	0	0	2	1	0	0	0	1	0	0	1	0	0	14	0	0	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	3	0	0	3	0	0	2	0	0	1	0	0	1	1	0	0	1	1	0	0	1	0	1	1	0	1	1	1	0	0	1	2	0	2	1	0	1	0	1	0	0	2	2	0	1	0	0	1	0	2	0	0	0	0	1	0	1	0	0	0	1	0	2	3	0	0	0	20	0	0	1	1	1	0	0	0	1	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	3	0	0	1	0	0	1	0	2	0	0	0	1	1	1	1	5	2	1	1	0	0	0	0	0	2	1	11	0	2	0	0	0	0	0	1	0	0	0	2	0	1	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	1	0	3	0	2	0	0	0	1	0	1	2	0	0	1	0	0	0	7	1	1	0	0	1	2	0	0	0	0	2	0	0	3	1	0	0	0	2	1	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	1	1	0	3	1	1	0	8	1	1	0	2	0	4	1	5	1	2	0	0	1	0	4	4	1	4	2	1	0	0	1	5	1	1	0
Gizmodo	0	0	0	0	0	1	3	0	0	3	2	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	1	3	0	1	1	0	1	2	0	0	2	0	1	1	1	0	0	1	0	0	2	2	0	0	1	1	1	0	1	0	0	0	0	0	0	3	0	0	0	1	0	0	0	2	0	0	0	0	9	1	1	1	0	0	0	0	1	0	3	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	2	0	0	1	1	0	2	0	1	0	1	1	0	1	0	2	0	2	0	1	1	2	0	0	0	0	0	0	1	1	2	4	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	1	2	0	1	1	2	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	2	1	0	0	0	0	2	1	0	1	3	2	1	0	3	1	0	0	4	1	0	20	0	1	0	8	0	0	0	3	0	0	1	0	0	0	0	0	2	0	0	0	0	0	4	1	0	3	0	0	1	1	0	0	1	2	0	0	0	0	2	1	1	1	1	0	0	0	2	0	0	0	0	0	0	0	1	0	2	0	1	0	0	1	0	0	0	0	0	1	0	0	0	1	1	3	0	0	1	1	0	0	2	1	0	0	0	2	0	2	0	1	0	0	0	0	0	6	1	0	1	0	1	0	0	0	1	1	3	1	0	1	1	0	0	0	0	2	1	2	0	1	2	0	2	0	1	4	0	0	0	0	0	2	0	2	0	0	2	0	0	0	1	0	0	0	2	0	0	0	0	2	0	0	1	3	0	0	0	2	1	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	1	3	0	0	5	0	0	1	0	1	0	0	3	2	0	0	1	0	0	1	1	0	0	0	0	1	0	0	2	1	0	1	0	0	0	2	1	3	0	0	1	0	0	1	0	1	0	0	0	1	0	1	0	3	0	0	1	1	0	0	4	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0	2	0	1	1	0	0	2	2	0	0	0	0	0	1	2	1	4	0	2	0	0	0	1	0	4	3	2	0	0	3	0	6	0	0
Quick Online Tips	0	0	0	1	3	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	6	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	9	0	2	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	1	2	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	10	0	0	0	0	2	0	0	0	0	3	0	0	3	0	5	0	1	0	0	1	0	0	0	0	0	9	0	2	0	0	9	1	1	0	10	0	1	0	0	0	0	0	0	7	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	8	0	0	0	0	0	1	1	0	0	2	0	0	0	2	0	0	0	0	3	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	1	1	1	0	0	3	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	1	0	10	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	9	1	0	0	1	0	1	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0
Oilman	0	0	0	0	0	7	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	3	1	0	2	0	0	0	1	4	0	0	0	0	1	0	2	0	1	0	1	0	0	0	0	2	0	0	0	0	1	0	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	5	1	1	0	0	1	0	2	1	3	0	0	1	1	0	2	0	0	1	0	2	0	0	0	1	0	0	0	1	0	0	0	2	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	2	1	0	0	1	0	0	1	0	1	0	0	0	0	3	1	0	0	0	0	0	2	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0	0	1	3	0	1	0	2	0	0	0	0	1	1	2	0	0	0	0	0	0	2	0	0	2	0	4	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	2	1	0	1	0	0	0	1	0	0	1	0	1	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	4	1	1	0	0	1	0	0	1	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	2	0	1	5	6	0	0	1	1	0	0	0	1	2	2	0	4	0	0	0	0	1	1	0	0	0	0	1	1	0	0	1	2	0	1	1	0	0	2	0	0	0	0	1	0	0	0	0	0	0	2	1	0	1	0	2	0	1	0	0	1	0	0	2	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	3	0	0	0	0	0	0	0	2	0	0	1	1	0	0	0	0
Guy Kawasaki	0	0	0	3	0	0	0	0	0	1	0	0	0	0	1	2	0	0	0	0	0	0	3	0	0	0	2	1	0	0	0	0	0	1	0	0	0	2	0	3	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	2	0	0	0	0	1	0	0	0	0	2	1	0	0	1	0	0	0	0	1	1	0	4	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	2	0	0	0	0	1	0	0	1	0	1	1	0	0	0	1	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	2	2	0	0	1	0	0	0	10	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	2	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	1	0	0	2	1	0	0	1	0	8	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0	10	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	12	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	2	5	1	0	0	0	1	0	1	0	0	1	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	1	0	0	0	0	2	0	1	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0
